seed,prior,learning_rate,batch_size,rounds,initial_kl,final_kl,tail_mean_kl,tail_std_kl
20270718,extremely_skewed,1/2,100,1000,0.5928809603744556,0.010680333729155332,0.01033629193647543,0.003845260274720001
20270719,random,1/(t+1),10,1000,0.2316526982934369,0.019051182363242568,0.019043661535828264,3.2878920052141684e-05
20270719,random,1/(t+1),100,1000,0.2316526982934369,0.02192310673211307,0.02195508090311177,2.094008848365674e-05
20270719,random,1/sqrt(t),10,1000,0.2316526982934369,0.006598436291383998,0.005759124216650136,0.0028346578357943226
20270719,random,1/sqrt(t),100,1000,0.2316526982934369,0.007542483419980855,0.007914808999815028,0.0002167522856299541
20270719,random,1/2,10,1000,0.2316526982934369,0.49888356697378433,0.4796492882408496,0.0349245253956652
20270719,random,1/2,100,1000,0.2316526982934369,0.003182458331024708,0.00517682809828056,0.0029591997881568397
20270719,uniform,1/(t+1),10,1000,0.0,0.0004405079633471509,0.00042047124065946697,1.8594321959360016e-05
20270719,uniform,1/(t+1),100,1000,0.0,0.000579672238495206,0.0005800093424867548,1.3323875589761772e-06
20270719,uniform,1/sqrt(t),10,1000,0.0,0.004148620522574149,0.00252078604953777,0.001732145756611176
20270719,uniform,1/sqrt(t),100,1000,0.0,0.000189418476140602,0.0003211112563126003,0.00010293702707644854
20270719,uniform,1/2,10,1000,0.0,0.06892442104665378,0.06963286792225108,0.04816383152069591
20270719,uniform,1/2,100,1000,0.0,0.0011677899077943664,0.006397787203828077,0.003770660365337746
20270719,slightly_skewed,1/(t+1),10,1000,0.11169068015839001,0.026535352503162468,0.02677164814100221,0.00015657646543412542
20270719,slightly_skewed,1/(t+1),100,1000,0.11169068015839001,0.04233297103375145,0.04247518898518881,9.275411655507984e-05
20270719,slightly_skewed,1/sqrt(t),10,1000,0.11169068015839001,0.0032761881232549854,0.004168020812866108,0.0011151174279851184
20270719,slightly_skewed,1/sqrt(t),100,1000,0.11169068015839001,0.003795414165984926,0.004032684073949901,0.00023750775483171864
20270719,slightly_skewed,1/2,10,1000,0.11169068015839001,0.05690357297757995,0.06104639476046069,0.04083242278053566
20270719,slightly_skewed,1/2,100,1000,0.11169068015839001,0.0008364761747309086,0.005445233114538737,0.004012374701667543
20270719,highly_skewed,1/(t+1),10,1000,0.3925591792684716,0.21262028601429805,0.2129906283995122,0.00031664593049044565
20270719,highly_skewed,1/(t+1),100,1000,0.3925591792684716,0.22240021101941992,0.222859693628966,0.0002685804353667374
20270719,highly_skewed,1/sqrt(t),10,1000,0.3925591792684716,0.0243010611904312,0.02451220950667297,0.0019644813417697116
20270719,highly_skewed,1/sqrt(t),100,1000,0.3925591792684716,0.03338705190250263,0.03516935150157952,0.0011283532675204985
20270719,highly_skewed,1/2,10,1000,0.3925591792684716,0.2531050722048419,0.2689557663978391,0.02608196393353663
20270719,highly_skewed,1/2,100,1000,0.3925591792684716,0.0025717007910430103,0.006386658583187822,0.003453849698727519
20270719,extremely_skewed,1/(t+1),10,1000,0.5928809603744556,0.001782607088981908,0.0017936287410931367,2.0151280598212953e-05
20270719,extremely_skewed,1/(t+1),100,1000,0.5928809603744556,0.000265973812728709,0.0002749355254726675,5.603516242360666e-06
20270719,extremely_skewed,1/sqrt(t),10,1000,0.5928809603744556,0.0012584747413311192,0.0027846927032484214,0.0011858319909165743
20270719,extremely_skewed,1/sqrt(t),100,1000,0.5928809603744556,0.0002681235583938777,0.00025153589145783154,0.000193466487068508
20270719,extremely_skewed,1/2,10,1000,0.5928809603744556,0.39480604168909117,0.4027453578602696,0.03151667353188551
20270719,extremely_skewed,1/2,100,1000,0.5928809603744556,0.006116331203086139,0.01281145962306419,0.004459351686367459
20270720,random,1/(t+1),10,1000,0.2115375047861027,0.0020020450288569924,0.0019735228040154576,2.515405326652624e-05
20270720,random,1/(t+1),100,1000,0.2115375047861027,0.007852584253351929,0.007879002175528477,1.47915833201328e-05
20270720,random,1/sqrt(t),10,1000,0.2115375047861027,0.005583036811864603,0.0050210036882759055,0.0012837897952873412
20270720,random,1/sqrt(t),100,1000,0.2115375047861027,0.0009912444956944799,0.0011469406990266238,0.00011095028793396584
20270720,random,1/2,10,1000,0.2115375047861027,0.16367272748771117,0.2403026456945482,0.1072897172306193
20270720,random,1/2,100,1000,0.2115375047861027,0.0024515639183257075,0.004784774241284948,0.003242334530203862
20270720,uniform,1/(t+1),10,1000,0.0,0.0002392689812440573,0.00025460896794808223,1.4515484111976861e-05
20270720,uniform,1/(t+1),100,1000,0.0,0.00039888918673086117,0.0004006415164538645,2.990494716740009e-06
20270720,uniform,1/sqrt(t),10,1000,0.0,0.0021503707100294644,0.004043220249666152,0.0018800801707958672
20270720,uniform,1/sqrt(t),100,1000,0.0,0.00031208415038092886,0.0003377404451515623,0.00010753595342562475
20270720,uniform,1/2,10,1000,0.0,0.07190926376215903,0.08324436120978769,0.05325392854069176
20270720,uniform,1/2,100,1000,0.0,0.002794361228588147,0.005587721036631731,0.003084386239888586
20270720,slightly_skewed,1/(t+1),10,1000,0.0655123569675804,0.036419321489173664,0.036493218977762365,9.088530695409652e-05
20270720,slightly_skewed,1/(t+1),100,1000,0.0655123569675804,0.018526333778164365,0.01857792286823994,1.8667923928544545e-05
20270720,slightly_skewed,1/sqrt(t),10,1000,0.0655123569675804,0.0032638145725873598,0.0026398332007201582,0.000861486482389335
20270720,slightly_skewed,1/sqrt(t),100,1000,0.0655123569675804,0.002486969629008292,0.002531928221521415,0.00021140576026885824
20270720,slightly_skewed,1/2,10,1000,0.0655123569675804,0.16663888535820542,0.13848216571394673,0.06908768568527769
20270720,slightly_skewed,1/2,100,1000,0.0655123569675804,0.002088222900605601,0.007467586837381012,0.003900265323615021
20270720,highly_skewed,1/(t+1),10,1000,0.23379845538498054,0.031715425836501124,0.03179885300862206,4.9294775922547384e-05
20270720,highly_skewed,1/(t+1),100,1000,0.23379845538498054,0.02146652139783657,0.021540202340935278,3.3949050522928516e-05
20270720,highly_skewed,1/sqrt(t),10,1000,0.23379845538498054,0.0023786632607608006,0.004025692832331948,0.000951232656191437
20270720,highly_skewed,1/sqrt(t),100,1000,0.23379845538498054,0.001727741667228522,0.0017123072984420351,0.00011158239050696329
20270720,highly_skewed,1/2,10,1000,0.23379845538498054,0.1160481949086144,0.1738816976144245,0.08329573197517061
20270720,highly_skewed,1/2,100,1000,0.23379845538498054,0.002304117465235709,0.004679726956330947,0.003080101251495033
20270720,extremely_skewed,1/(t+1),10,1000,0.5928809603744556,0.0017802767425313115,0.0017897522663785775,1.1738544503183282e-05
20270720,extremely_skewed,1/(t+1),100,1000,0.5928809603744556,0.0007096548061048171,0.0007105477528351646,4.922319307409678e-06
20270720,extremely_skewed,1/sqrt(t),10,1000,0.5928809603744556,0.0068079521254717345,0.010712093447304701,0.0038629944388975913
20270720,extremely_skewed,1/sqrt(t),100,1000,0.5928809603744556,0.00036333317330570743,0.0004725416574109288,0.00011306234282445996
20270720,extremely_skewed,1/2,10,1000,0.5928809603744556,0.46047388425616764,0.5180884607707277,0.049347670590076775
20270720,extremely_skewed,1/2,100,1000,0.5928809603744556,0.008383271230184711,0.01809314433117376,0.006825308487754361
